7,TB Mega Menu (tb_megamenu),Megamenu solutions for Drupal,TB Mega Menu ,tb_megamenu,https://drupal.org/project/tb_megamenu
7,Telephone (telephone),Defines a field type for telephone numbers.,Telephone ,telephone,https://drupal.org/project/telephone
8,Time Field (time_field),Time field,Time Field ,time_field,https://drupal.org/project/time_field
"7,8",Token (token),Provides a user interface for the Token API and some missing core tokens.,Token ,token,https://drupal.org/project/token
8,Typed Data (typed_data),Extends the core Typed Data API with new APIs and features.,Typed Data ,typed_data,https://drupal.org/project/typed_data
"7,8",Ultimate Cron (ultimate_cron),Cron,Ultimate Cron ,ultimate_cron,https://drupal.org/project/ultimate_cron
7,Ultimate Cron (ultimate_cron),Cron,Ultimate Cron ,ultimate_cron,https://drupal.org/project/ultimate_cron
8,Unique Field Ajax (unique_field_ajax),The Unique Field module allows administrators to require that content supplied for specified fields is unique.,Unique Field Ajax ,unique_field_ajax,https://drupal.org/project/unique_field_ajax
7,Universally Unique ID (uuid),Extends the entity functionality and adds support for universally unique identifiers.,Universally Unique ID ,uuid,https://drupal.org/project/uuid
7,View Unpublished (view_unpublished),Select which roles should be able to see unpublished nodes.,View Unpublished ,view_unpublished,https://drupal.org/project/view_unpublished
"7,8",Views Bootstrap (views_bootstrap),Bootstrap Components,Views Bootstrap ,views_bootstrap,https://drupal.org/project/views_bootstrap
"7,8",Views Bulk Operations (views_bulk_operations),Adds an ability to perform bulk operations on selected entities from view results.,Views Bulk Operations ,views_bulk_operations,https://drupal.org/project/views_bulk_operations
7,Views Data Export (views_data_export),Plugin to export views data into various file formats,Views Data Export ,views_data_export,https://drupal.org/project/views_data_export
7,Views field formatter (views_field_formatter),Use the result of a view to display a field.,Views field formatter ,views_field_formatter,https://drupal.org/project/views_field_formatter
7,Views fieldsets (views_fieldsets),Output several Views fields into a fieldset,Views fieldsets ,views_fieldsets,https://drupal.org/project/views_fieldsets
7,Views Slideshow (views_slideshow),Provides a View style that displays rows as a jQuery slideshow. This is an API and requires Views Slideshow Cycle or another module that supports the API.,Views Slideshow ,views_slideshow,https://drupal.org/project/views_slideshow
"7,8",Views (views),Create customized lists and queries from your database.,Views ,views,https://drupal.org/project/views
7,Webform Hints (webform_hints),"Turns field labels into placeholder hints on Webform textareas, textfields, and email fields.",Webform Hints ,webform_hints,https://drupal.org/project/webform_hints
"7,8",Webform Select Limit (webform_select_limit),Provides a webform validation component to limit the amount of times users can submit select option values.,Webform Select Limit ,webform_select_limit,https://drupal.org/project/webform_select_limit
7,Webform Validation (webform_validation),Add validation rules to webforms,Webform Validation ,webform_validation,https://drupal.org/project/webform_validation
7,Webform (webform),Enables the creation of forms and questionnaires.,Webform ,webform,https://drupal.org/project/webform
7,Wysiwyg (wysiwyg),Allows to edit content with client-side editors.,Wysiwyg ,wysiwyg,https://drupal.org/project/wysiwyg
7,XML sitemap (xmlsitemap),Creates an XML sitemap conforming to the sitemaps.org protocol.,XML sitemap ,xmlsitemap,https://drupal.org/project/xmlsitemap
